100,0.001566,0.001568,0.998756
200,0.007452,0.005982,1.245679
300,0.011471,0.005964,1.923456
400,0.015312,0.005453,2.807914
500,0.041634,0.011677,3.565432
600,0.047344,0.014648,3.232109
700,0.079197,0.023869,3.317986
800,0.11727,0.033178,3.534567
900,0.1651,0.038785,4.256789
1000,0.197799,0.049328,4.009876
1100,0.24513,0.070462,3.478901
1200,0.362772,0.086149,4.210987
1300,0.491479,0.109732,4.478901
1400,0.527021,0.127574,4.131098
1500,0.682187,0.152496,4.473476
1600,0.882443,0.184334,4.787194
1700,1.219529,0.225927,5.397891
1800,1.184177,0.259379,4.565432
1900,1.442185,0.308387,4.676543
2000,1.604433,0.346937,4.624567
